pl_name,hostname,pl_letter,disc_year,discoverymethod,disc_facility,disc_locale,ra,dec,glon,glat,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmasse,pl_bmassprov,pl_radj,pl_rade,pl_dens,pl_eqt,pl_insol,pl_trandep,pl_trandur,pl_rvamp,st_teff,st_rad,st_mass,st_met,st_logg,st_lum,st_age,st_dens,st_vsin,st_spectype,sy_snum,sy_pnum,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,tran_flag,rv_flag,ttv_flag,ima_flag,pl_controv_flag
Kepler-1167 b,Kepler-1167,b,2016,Transit,Kepler,Space,298.3026595,47.6939654,81.68674,10.23657,1.00393373900,0.0175000000,0.000000,89.76000,0.01120000,3.57000000,M-R relationship,0.15255598,1.71000000,3.920000,1419.00,1039.6970,0.04911000,1.4562000,,4971.00,0.750000,0.790000,-0.0500,4.600000,-0.53589,4.2700,2.858170,,,1,1,820.90500000,16.0470000,13.6630000,15.9292000,1,0,0,0,0
Kepler-1740 b,Kepler-1740,b,2021,Transit,Kepler,Space,293.8736630,38.9224548,72.31602,8.87006,8.17240047500,0.0779000000,0.000000,82.80000,0.03470000,11.00000000,M-R relationship,0.29647782,3.32321414,1.650000,858.00,127.9500,0.08643000,3.9020000,,5705.00,0.905000,0.943000,-0.0600,4.499000,-0.07942,,0.114270,,,1,1,1061.77000000,15.4540000,13.6950000,15.2863000,1,0,0,0,0
Kepler-1581 b,Kepler-1581,b,2016,Transit,Kepler,Space,287.3713199,39.6036225,70.69427,13.69395,6.28385491000,0.0686500000,0.000000,89.49000,0.00137000,0.43700000,M-R relationship,0.07137122,0.80000000,4.690000,1108.00,470.8620,0.00357000,4.1240000,,6022.00,1.230000,1.120000,0.0700,4.310000,0.39085,4.1700,0.430000,,,1,1,493.17500000,12.4420000,11.0250000,12.3525000,1,0,0,0,0
Kepler-644 b,Kepler-644,b,2016,Transit,Kepler,Space,295.4757022,43.4931119,76.98011,9.95162,3.17391710300,0.0464100000,0.000000,78.65000,0.03170000,10.10000000,M-R relationship,0.28102418,3.15000000,1.780000,1655.00,2381.7700,0.03030000,3.5066000,,6747.00,1.810000,1.490000,0.0800,4.090000,0.71041,1.6200,0.290000,,,1,1,1318.05000000,14.0310000,12.5740000,13.9601000,1,0,0,0,0
Kepler-1752 b,Kepler-1752,b,2021,Transit,Kepler,Space,290.8541401,51.2227435,82.71749,16.13825,56.35850143000,0.2698000000,0.000000,88.46000,0.05900000,18.70000000,M-R relationship,0.40508631,4.54060463,1.100000,419.00,7.2900,0.25596000,6.9270000,,5446.00,0.821000,0.824000,-0.2000,4.525000,-0.39819,7.2000,0.228730,,,1,1,962.88800000,16.0249000,13.9990000,15.7960000,1,0,1,0,0
Kepler-280 c,Kepler-280,c,2014,Transit,Kepler,Space,291.3905325,42.1804735,74.40417,12.02527,4.80709100000,0.0560000000,0.000000,86.65000,0.01480000,4.70000000,M-R relationship,0.17900000,2.01000000,3.180000,1088.00,279.0850,0.04505000,0.9010000,,5744.00,0.886000,0.962000,0.1213,4.537000,-0.06437,5.6200,1.080000,,,1,2,780.36100000,14.3500000,12.8440000,14.4574000,1,0,0,0,0
Kepler-1208 b,Kepler-1208,b,2016,Transit,Kepler,Space,291.8812445,44.5557587,76.75288,12.73691,11.08507637000,0.0901000000,0.000000,88.44000,0.01890000,5.99000000,M-R relationship,0.20697654,2.32000000,2.640000,665.00,37.6640,0.07718000,1.7080000,,5001.00,0.760000,0.800000,-0.0300,4.590000,-0.55349,4.4700,19.938680,,,1,1,825.17600000,16.2560000,13.7880000,15.9464000,1,0,0,0,0
Kepler-263 c,Kepler-263,c,2014,Transit,Kepler,Space,292.4698022,37.5677941,70.58352,9.22104,47.33277300000,0.2420000000,0.000000,89.80000,0.02100000,6.66000000,M-R relationship,0.22000000,2.47000000,2.430000,386.00,5.9940,0.09755000,3.0690000,,5265.00,0.785000,0.793000,-0.0314,4.576000,-0.45614,2.2400,2.000000,,,1,2,754.74700000,15.4350000,13.5480000,15.4167000,1,0,0,0,0
Kepler-1101 b,Kepler-1101,b,2016,Transit,Kepler,Space,294.5693544,45.6711623,78.63822,11.53493,81.31510590000,0.3483000000,0.000000,89.99000,0.02100000,6.66000000,M-R relationship,0.22035864,2.47000000,2.430000,393.00,3.5770,0.07817000,5.7620000,,5614.00,0.910000,0.940000,-0.0400,4.500000,-0.35135,4.2700,3.758100,,,1,1,742.47300000,15.1560000,13.3140000,15.0958000,1,0,0,0,0
HD 168746 b,HD 168746,b,2002,Radial Velocity,La Silla Observatory,Ground,275.4573269,-11.9229757,18.96358,1.03031,6.40400000000,0.0700000000,0.110000,,0.27000000,85.81410000,Msini,0.99300000,11.10000000,0.345000,900.00,,,,28.60000,5570.00,1.090000,1.070000,-0.0800,4.390000,0.04139,8.0000,1.089734,1.0000,G5,1,1,41.56810000,7.9500000,6.2530000,7.7716900,0,1,0,0,0
K2-19 b,K2-19,b,2015,Transit,K2,Space,174.9602543,0.6035960,267.02928,58.39355,7.92220000000,0.0740000000,0.200000,91.50000,0.10194180,32.40000000,Mass,0.62449925,7.00000000,0.520000,779.00,87.0000,0.66730000,3.2370000,9.60000,5322.00,0.820000,0.880000,0.0600,4.510000,-0.29196,8.0000,1.760000,3.0000,G9 V,1,3,289.82700000,13.0240000,11.1610000,12.8153000,1,1,1,0,0
Kepler-560 b,Kepler-560,b,2016,Transit,Kepler,Space,300.2066441,45.0182402,80.01329,7.75597,18.47764449000,0.0899000000,0.170000,89.60600,0.01130000,3.61000000,M-R relationship,0.15344812,1.72000000,3.900000,298.00,2.4600,0.27790000,1.8777000,,3556.00,0.330000,0.340000,-0.3900,4.940000,-1.71700,4.0700,8.386084,,,2,1,109.30800000,15.6600000,11.4550000,14.7511000,1,0,1,0,0
Kepler-150 d,Kepler-150,d,2014,Transit,Kepler,Space,288.2341025,40.5208970,71.83343,13.46754,12.56093000000,0.1040000000,0.000000,89.95000,0.02580000,8.20000000,M-R relationship,0.24900000,2.79000000,2.070000,734.00,65.1420,0.09669000,3.7640000,,5560.00,0.939000,0.956000,0.1200,4.466000,-0.16141,1.7400,1.390000,,,1,5,891.09200000,15.1610000,13.3670000,14.9743000,1,0,0,0,0
Kepler-498 b,Kepler-498,b,2016,Transit,Kepler,Space,290.3581592,44.5187225,76.24340,13.70333,9.61375356000,0.0897000000,0.000000,87.37000,0.02970000,9.43000000,M-R relationship,0.27031849,3.03000000,1.860000,931.00,202.7750,0.07979000,4.7305000,,5744.00,0.960000,0.980000,-0.0400,4.470000,0.17242,3.8900,0.463780,,,1,1,938.84400000,14.3490000,12.7550000,14.2463000,1,0,1,0,0
Kepler-817 b,Kepler-817,b,2016,Transit,Kepler,Space,296.0818498,39.1616140,73.35435,7.47643,3.99010622900,0.0493000000,0.000000,87.09000,0.18900000,60.20000000,M-R relationship,0.80560264,9.03000000,0.449000,1124.00,550.2030,0.61549000,2.4269000,,5861.00,1.030000,1.030000,0.0200,4.420000,0.08609,3.5500,1.784040,,,1,1,1484.46000000,15.9670000,13.9540000,15.5969000,1,0,0,0,0
Kepler-937 b,Kepler-937,b,2016,Transit,Kepler,Space,294.1688142,46.7146161,79.46009,12.25527,67.66882700000,0.3214000000,0.000000,89.61000,0.04200000,13.40000000,M-R relationship,0.33187617,3.72000000,1.430000,495.00,20.6270,0.09611000,9.6230000,,6095.00,1.220000,1.150000,0.0800,4.320000,0.28097,3.2400,0.653570,,,1,2,1571.46000000,15.4050000,13.6810000,15.1944000,1,0,0,0,0
K2-10 b,K2-10,b,2015,Transit,K2,Space,172.1216476,1.6906217,261.42793,57.71659,19.30553000000,0.1370000000,0.310000,89.50414,0.07928807,25.20000000,Mass,0.33660509,3.77300000,2.360000,649.00,42.1000,0.16910000,3.8064000,7.30000,5533.00,0.956000,0.880000,-0.0700,4.470000,-0.10088,,1.508035,1.5000,F9,1,1,272.36000000,12.4290000,10.6450000,12.2156000,1,1,0,0,0
Kepler-571 b,Kepler-571,b,2016,Transit,Kepler,Space,286.5510448,49.4187310,79.88566,18.00113,4.79859938800,0.0546000000,0.000000,86.64000,0.02350000,7.46000000,M-R relationship,0.23552502,2.64000000,2.230000,978.00,219.0360,0.08174000,2.9979000,,5527.00,0.900000,0.930000,0.0100,4.510000,-0.22253,4.6800,1.409660,,,1,1,723.87500000,14.9510000,12.9860000,14.6536000,1,0,0,0,0
Kepler-1458 b,Kepler-1458,b,2016,Transit,Kepler,Space,283.2115971,41.0380135,70.79731,17.17283,47.98727640000,0.2486900000,0.000000,88.67000,0.02530000,8.05000000,M-R relationship,0.24623071,2.76000000,2.100000,493.00,8.2930,0.09128000,4.7560000,,5653.00,0.940000,0.960000,0.0200,4.480000,-0.24032,4.1700,1.640000,,,1,1,544.45000000,14.4340000,12.5090000,14.1996000,1,0,0,0,0
K2-335 b,K2-335,b,2021,Transit,K2,Space,129.3896679,16.5220648,209.07458,30.71655,12.28321100000,,,88.50662,0.01740000,5.52000000,M-R relationship,0.19716333,2.21000000,2.810000,949.00,,0.03140000,4.3100000,,6222.00,1.330000,1.230000,0.1000,4.280000,0.39509,,0.723376,,,1,1,557.99300000,12.5560000,11.2810000,12.4741000,1,0,0,0,0
Kepler-1600 c,Kepler-1600,c,2021,Transit,Kepler,Space,291.3993802,38.7877563,71.30223,10.52293,7.29804992700,0.0696100000,0.000000,88.63000,0.01390000,4.43000000,M-R relationship,0.17325974,1.94206512,3.320000,786.00,84.7000,0.03705000,3.0240000,,5119.00,0.834000,0.818000,0.1000,4.508000,-0.33945,6.9200,1.800820,,,1,2,1030.81000000,16.0760000,13.8960000,15.8138000,1,0,0,0,0
Kepler-221 d,Kepler-221,d,2014,Transit,Kepler,Space,296.6547477,46.8352242,80.37293,10.80167,10.04156000000,0.0870000000,0.000000,87.80000,0.01135833,3.61000000,Mass,0.24400000,2.73000000,0.900000,712.00,56.2930,0.11553000,2.5300000,,5243.00,0.821000,0.854000,0.0616,4.543000,-0.40429,1.7800,1.800000,,,1,4,385.23100000,13.9700000,11.9000000,13.7486000,1,0,0,0,0
Kepler-626 b,Kepler-626,b,2016,Transit,Kepler,Space,288.6986828,39.7082044,71.22602,12.80662,14.48585199000,0.1091300000,0.000000,86.48000,0.01840000,5.86000000,M-R relationship,0.20430012,2.29000000,2.680000,784.00,69.7950,0.04571000,2.7143000,,5813.00,1.050000,1.010000,0.0100,4.400000,-0.04194,5.3700,0.930000,,,1,1,635.64300000,14.0860000,12.3880000,13.9435000,1,0,0,0,0
Kepler-1549 b,Kepler-1549,b,2016,Transit,Kepler,Space,286.0524399,39.0960281,69.79203,14.42317,214.88654500000,0.6687000000,0.000000,89.99000,0.02240000,7.13000000,M-R relationship,0.22928004,2.57000000,2.310000,286.00,1.1840,0.07592000,10.1100000,,5324.00,0.840000,0.880000,0.0200,4.540000,-0.27333,4.7900,1.906420,,,1,1,803.05200000,15.3530000,13.2710000,15.1516000,1,0,0,0,0
K2-62 c,K2-62,c,2016,Transit,K2,Space,334.3645089,-12.1874776,47.74962,-50.99807,16.19697000000,0.1148000000,,89.60532,0.01450000,4.62000000,M-R relationship,0.17753621,1.99000000,3.220000,495.00,14.3000,0.08280000,1.2900000,,4455.00,0.696000,0.670000,-0.1000,4.570000,-0.72658,,3.006962,,,1,2,112.46700000,12.3910000,9.6880000,12.0433000,1,0,0,0,0
Kepler-1149 b,Kepler-1149,b,2016,Transit,Kepler,Space,294.1891824,45.1515263,78.04201,11.53556,3.73089898000,0.0473000000,0.000000,81.98000,0.00839000,2.67000000,M-R relationship,0.12846820,1.44000000,4.910000,1128.00,653.8310,0.01912000,2.8070000,,5833.00,1.010000,1.020000,0.0200,4.430000,0.16546,3.9800,1.081840,,,1,1,1217.73000000,15.1460000,13.3010000,14.9307000,1,0,0,0,0
Kepler-1288 b,Kepler-1288,b,2016,Transit,Kepler,Space,285.7135000,41.6058799,72.07908,15.64284,2.76122421000,0.0413500000,0.000000,87.58000,0.00459000,1.46000000,M-R relationship,0.09991971,1.12000000,5.710000,2017.00,1342.5000,0.00678000,3.6620000,,6132.00,1.290000,1.200000,0.1400,4.290000,0.30207,2.8800,0.650000,,,1,1,814.07800000,13.1990000,11.9590000,13.1774000,1,0,0,0,0
Kepler-128 b,Kepler-128,b,2013,Transit,Kepler,Space,282.4922622,43.9802442,73.49392,18.70795,15.00000000000,0.1254500000,0.000000,89.96000,0.01192467,3.79000000,Mass,0.12677335,1.42100000,7.222837,968.00,227.3980,0.00742000,4.2108000,,6072.00,1.659000,1.184000,-0.0300,4.070000,0.57542,4.0700,0.365286,,,1,2,396.37900000,11.6930000,10.1090000,11.2886000,1,0,1,0,0
Kepler-1245 b,Kepler-1245,b,2016,Transit,Kepler,Space,290.7443078,43.2607530,75.19259,12.91958,4.35409304000,0.0484000000,0.000000,85.65000,0.00839000,2.67000000,M-R relationship,0.12846820,1.44000000,4.910000,1043.00,194.3440,0.02771000,2.3130000,,5306.00,0.830000,0.860000,-0.0100,4.550000,-0.41093,4.5700,3.059430,,,1,2,805.93600000,15.5820000,13.5190000,15.3721000,1,0,0,0,0
Kepler-1068 b,Kepler-1068,b,2016,Transit,Kepler,Space,294.6481708,46.3923173,79.31892,11.81541,16.92344113000,0.1303800000,0.000000,88.93000,0.04030000,12.80000000,M-R relationship,0.32384691,3.63000000,1.470000,702.00,55.9330,0.11253000,4.0618000,,5806.00,1.010000,1.010000,0.0300,4.430000,-0.02521,4.1700,1.090000,,,1,1,1473.61000000,16.0960000,14.1610000,15.8316000,1,0,0,0,0
Kepler-311 c,Kepler-311,c,2014,Transit,Kepler,Space,282.0612731,47.0854984,76.49308,20.02263,19.73828600000,0.1450000000,0.000000,88.06000,0.00829000,2.63000000,M-R relationship,0.12800000,1.43000000,4.940000,744.00,72.4560,0.01681000,4.8600000,,5905.00,1.188000,0.994000,-0.0300,4.308000,0.19328,1.9500,0.690000,,,1,3,778.65400000,13.9020000,12.4180000,13.7537000,1,0,0,0,0
Kepler-150 e,Kepler-150,e,2014,Transit,Kepler,Space,288.2341025,40.5208970,71.83343,13.46754,30.82655700000,0.1890000000,0.000000,86.76000,0.03120000,9.91000000,M-R relationship,0.27800000,3.12000000,1.790000,544.00,19.6710,0.07759000,5.4550000,,5560.00,0.939000,0.956000,0.1200,4.466000,-0.16141,1.7400,1.390000,,,1,5,891.09200000,15.1610000,13.3670000,14.9743000,1,0,0,0,0
Kepler-272 c,Kepler-272,c,2014,Transit,Kepler,Space,299.1275257,47.5938319,81.87731,9.70399,6.05734200000,0.0610000000,0.000000,88.98000,0.30800000,97.80000000,Mass,0.16000000,1.79000000,93.700000,947.00,310.7600,0.03852000,3.6950000,,5297.00,0.929000,0.910000,0.0400,4.426000,0.06634,13.1800,0.570000,,,1,3,889.60800000,14.8110000,12.7080000,14.6591000,1,0,0,0,0
Kepler-152 c,Kepler-152,c,2014,Transit,Kepler,Space,286.8653826,41.9889571,72.79154,15.00096,88.25505500000,0.3560000000,0.000000,89.37000,0.01980000,6.30000000,M-R relationship,0.21300000,2.39000000,2.540000,326.00,2.5700,0.11322000,4.0360000,,5088.00,0.724000,0.779000,-0.1200,4.605000,-0.46488,2.0000,1.860000,,,1,2,441.09000000,14.3790000,12.3010000,14.2437000,1,0,0,0,0
Kepler-1506 b,Kepler-1506,b,2016,Transit,Kepler,Space,290.1498822,41.4645625,73.33499,12.55055,14.03291540000,0.1168000000,0.000000,89.85000,0.00724000,2.30000000,M-R relationship,0.11776251,1.32000000,5.500000,783.00,235.8070,0.02109000,6.8440000,,5676.00,0.930000,0.950000,-0.0500,4.490000,0.42561,3.9800,0.380640,,,1,1,2366.02000000,15.8360000,14.0820000,15.6243000,1,0,0,0,0
CoRoT-3 b,CoRoT-3,b,2008,Transit,CoRoT,Space,292.0552827,0.1218359,37.26302,-8.12065,4.25680000000,0.0578300000,0.000000,85.90000,21.66000000,6883.91000000,Mass,1.01000000,11.32000000,26.400000,1695.00,,0.43980000,3.3840000,2173.00000,6740.00,1.560000,1.370000,0.1400,4.220000,0.39086,2.2000,0.431000,17.0000,F3 V,1,1,768.77100000,13.4480000,11.6180000,13.2188000,1,1,0,0,0
HD 205739 b,HD 205739,b,2008,Radial Velocity,Las Campanas Observatory,Ground,324.5351273,-31.7378373,14.61325,-47.99934,279.80000000000,0.8960000000,0.270000,,1.37000000,435.41000000,Msini,1.21000000,13.60000000,0.951000,,,,,42.00000,6176.00,1.330000,1.220000,0.1900,4.290000,0.36000,2.8400,0.679440,4.4800,F7 V,1,1,92.50870000,8.5600000,7.2990000,8.4199100,0,1,0,0,0
NGTS-10 b,NGTS-10,b,2020,Transit,Next-Generation Transit Survey (NGTS),Ground,91.8722801,-25.5948963,232.00450,-20.48518,0.76689440000,0.0143000000,0.000000,,2.16200000,687.14846000,Mass,1.20500000,13.50684500,1.430000,1332.00,,,1.0910000,594.90000,4600.00,0.697000,0.696000,-0.0200,4.595000,-0.75673,10.4000,,4.0000,K5 V,1,1,324.69865036,14.5060000,11.7280000,14.2604000,1,1,0,0,0
HD 224693 b,HD 224693,b,2006,Radial Velocity,W. M. Keck Observatory,Ground,359.9749837,-22.4279999,52.02077,-77.40177,26.69040000000,0.1910000000,0.104000,,0.70000000,222.48100000,Msini,1.25000000,14.00000000,0.446000,,,,,39.96000,5894.00,1.930000,1.310000,0.2700,4.380000,0.61000,4.1200,0.233326,3.5000,G2 V,1,1,93.50150000,8.2300000,6.8080000,8.0852800,0,1,0,0,0
HD 156279 b,HD 156279,b,2011,Radial Velocity,Haute-Provence Observatory,Ground,258.0966686,63.3527828,93.08627,35.08164,133.40355000000,0.5020000000,0.647000,87.00000,9.43200000,2997.75753482,Msini,1.12000000,12.50000000,8.430000,,,,,509.45400,5453.00,0.950000,0.940000,0.1400,4.460000,-0.14596,4.1000,1.492851,2.5100,G6,1,2,36.19450000,8.0700000,6.2690000,7.8656900,0,1,0,0,0
HD 12661 b,HD 12661,b,2000,Radial Velocity,Multiple Observatories,Ground,31.1423525,25.4135632,143.06278,-34.58321,262.70862000000,0.8400000000,0.380000,86.00000,2.43000000,772.32690000,Msini,1.18000000,13.30000000,1.800000,,,,,73.60000,5645.00,1.200000,1.200000,0.3600,4.360000,0.13270,6.3900,0.788420,1.3000,K0,1,2,37.84780000,7.4300000,5.8610000,7.2474600,0,1,0,0,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,2004,Imaging,Paranal Observatory,Ground,181.8890906,-39.5484399,293.79011,22.54309,,55.0000000000,,,5.00000000,1589.15000000,Mass,1.15000000,12.90000000,4.070000,1250.00,,,,,2825.00,0.218870,0.024000,,5.031860,-2.56086,0.0080,25.279454,,M8,1,1,64.30800000,20.1500000,11.9450000,17.4076000,0,0,0,1,0
HD 16417 b,HD 16417,b,2008,Radial Velocity,Anglo-Australian Telescope,Ground,39.2441029,-34.5790905,237.69566,-66.23770,17.24000000000,0.1400000000,0.200000,,0.06960000,22.10000000,Msini,0.44600000,5.00000000,0.972000,,,,,5.00000,5841.00,1.639984,1.200000,0.0600,4.160000,0.44317,7.0000,0.350778,2.1000,G1 V,2,1,25.39360000,5.7800000,4.2460000,5.6131900,0,1,0,0,0
HD 19994 b,HD 19994,b,2003,Radial Velocity,La Silla Observatory,Ground,48.1943193,-1.1963955,181.50523,-47.34122,466.20000000000,1.3050000000,0.063000,,1.37000000,435.41000000,Msini,1.21000000,13.60000000,0.951000,,,,,29.30000,6188.00,1.796470,1.365000,0.2700,4.290000,0.58000,2.4000,0.277213,8.6000,F8 V,3,1,22.52420000,5.0634500,3.7480000,4.9303800,0,1,0,0,0
61 Vir b,61 Vir,b,2009,Radial Velocity,Multiple Observatories,Ground,199.5964550,-18.3157745,311.85177,44.08875,4.21500000000,0.0502010000,0.120000,,0.01600000,5.10000000,Msini,0.18800000,2.11000000,2.980000,,,,,2.12000,5577.00,0.963000,0.942000,-0.0100,4.340000,-0.09500,8.9600,1.449330,1.9000,G5 V,1,3,8.50332000,4.6955000,2.9560000,4.5405200,0,1,0,0,0
HD 156279 c,HD 156279,c,2018,Radial Velocity,W. M. Keck Observatory,Ground,258.0966686,63.3527828,93.08627,35.08164,4818.25358000000,5.4860000000,0.261000,74.69900,9.75000000,3098.82696825,Mass,1.11000000,12.50000000,8.720000,,,,,121.32800,5453.00,0.950000,0.940000,0.1400,4.460000,-0.14596,4.1000,1.492851,2.5100,G6,1,2,36.19450000,8.0700000,6.2690000,7.8656900,0,1,0,0,0
GJ 179 b,GJ 179,b,2009,Radial Velocity,W. M. Keck Observatory,Ground,73.0245495,6.4752347,192.22740,-22.86269,2288.00000000000,2.4100000000,0.210000,61.00000,0.95000000,301.93698665,Mass,1.23000000,13.80000000,0.631000,,,,,25.80000,3370.00,0.380000,0.357000,0.3000,4.830000,-1.79600,,9.675469,1.5000,M3.5 V,1,1,12.35600000,11.9630000,6.9420000,10.7055000,0,1,0,0,0
GQ Lup b,GQ Lup,b,2004,Imaging,Paranal Observatory,Ground,237.3003643,-35.6515055,338.92530,14.51078,,100.0000000000,,,20.00000000,6356.00000000,Mass,3.00000000,33.60000000,0.921000,2650.00,,,,,4360.00,1.941530,0.700000,-0.3500,3.650000,-0.07239,0.0010,,6.3300,K7e V,1,1,151.16900000,11.5930000,7.0960000,11.2608000,0,0,0,1,0
GJ 832 b,GJ 832,b,2008,Radial Velocity,Anglo-Australian Telescope,Ground,323.3912616,-49.0125169,349.16814,-46.34872,3853.00000000000,3.7000000000,0.050000,51.00000,0.99000000,314.65012293,Mass,1.23000000,13.80000000,0.658000,,,,,15.40000,3472.00,0.441557,0.450000,-0.3000,4.789050,-1.58500,8.1000,7.164032,2.1000,M2/3 V,1,1,4.96435000,8.6600000,4.5010000,7.7376100,0,1,0,0,0
HD 37605 b,HD 37605,b,2004,Radial Velocity,McDonald Observatory,Ground,85.0074276,6.0595116,199.10550,-12.89566,55.01292000000,0.2770000000,0.674500,,2.69000000,854.96270000,Msini,1.18000000,13.20000000,2.040000,,,,,203.47000,5329.00,0.910000,0.940000,0.2700,4.511000,-0.22000,5.6500,1.367928,1.0000,K0,1,2,46.78640000,8.6700000,6.8150000,8.4619200,0,1,0,0,0
HD 33283 b,HD 33283,b,2006,Radial Velocity,W. M. Keck Observatory,Ground,77.0044889,-26.7976689,228.49712,-33.50524,18.19910000000,0.1508000000,0.399000,,0.32900000,104.56607000,Msini,1.12000000,12.50000000,0.294000,,,,,22.40000,5935.00,1.970000,1.380000,0.3500,4.120000,0.64000,3.6300,0.214497,3.2000,G3/G5 V,2,1,89.86230000,8.0500000,6.6460000,7.8993300,0,1,0,0,0
HD 9446 b,HD 9446,b,2009,Radial Velocity,Haute-Provence Observatory,Ground,23.3350424,29.2649187,133.79881,-32.72110,30.05200000000,0.1890000000,0.200000,,0.70000000,222.47200000,Msini,1.25000000,14.00000000,0.446000,,,,,46.60000,5793.00,1.000000,1.000000,0.0900,4.530000,0.04139,,1.517227,4.0000,G5 V,1,2,50.35030000,8.3500000,6.8510000,8.2095000,0,1,0,0,0
61 Vir c,61 Vir,c,2009,Radial Velocity,Multiple Observatories,Ground,199.5964550,-18.3157745,311.85177,44.08875,38.02100000000,0.2175000000,0.140000,,0.05700000,18.20000000,Msini,0.39800000,4.46000000,1.130000,,,,,3.62000,5577.00,0.963000,0.942000,-0.0100,4.340000,-0.09500,8.9600,1.449330,1.9000,G5 V,1,3,8.50332000,4.6955000,2.9560000,4.5405200,0,1,0,0,0
61 Vir d,61 Vir,d,2009,Radial Velocity,Multiple Observatories,Ground,199.5964550,-18.3157745,311.85177,44.08875,123.01000000000,0.4760000000,0.350000,,0.07200000,22.90000000,Msini,0.45600000,5.11000000,0.943000,,,,,3.25000,5577.00,0.963000,0.942000,-0.0100,4.340000,-0.09500,8.9600,1.449330,1.9000,G5 V,1,3,8.50332000,4.6955000,2.9560000,4.5405200,0,1,0,0,0
HD 134987 c,HD 134987,c,2009,Radial Velocity,Multiple Observatories,Ground,228.3675397,-25.3096721,339.18433,27.38710,5000.00000000000,5.8000000000,0.120000,,0.82000000,260.00000000,Msini,1.24000000,13.90000000,0.532000,,,,,9.30000,5585.00,1.250000,1.100000,0.2800,4.310000,0.25527,8.4000,0.683202,2.1700,G5 V,1,2,26.18040000,6.4700000,4.8820000,6.2899400,0,1,0,0,0
HD 110014 b,HD 110014,b,2009,Radial Velocity,La Silla Observatory,Ground,189.8111935,-7.9956702,297.69653,54.75208,835.47700000000,2.1400000000,0.462000,,11.09000000,3524.59000000,Msini,1.11000000,12.40000000,10.200000,,,,,158.20000,4445.00,20.900000,2.170000,0.1900,2.100000,2.30408,0.9500,,2.0000,K2 III,1,1,100.75800000,4.6459700,2.0110000,4.3104800,0,1,0,0,0
HD 79498 b,HD 79498,b,2011,Radial Velocity,McDonald Observatory,Ground,138.7885794,23.3748792,204.70286,41.32122,1807.00000000000,2.9800000000,0.575000,,1.34000000,425.89220000,Msini,1.22000000,13.60000000,0.930000,,,,,26.00000,5748.00,1.050000,1.080000,0.1800,4.370000,0.03000,2.7100,1.009850,2.0000,G5,2,1,48.94890000,8.0500000,6.5300000,7.8859000,0,1,0,0,0
HD 45652 b,HD 45652,b,2008,Radial Velocity,Haute-Provence Observatory,Ground,97.3058709,10.9336212,200.68451,0.11002,44.07300000000,0.2370000000,0.607000,,0.43300000,137.62039000,Msini,1.28000000,14.30000000,0.259000,,,,,33.20000,5294.00,0.940000,0.920000,0.2600,4.200000,-0.20000,8.4000,1.461073,2.0000,G8/K0,1,1,34.85410000,8.1000000,6.2630000,7.9118000,0,1,0,0,0
HIP 79431 b,HIP 79431,b,2009,Radial Velocity,W. M. Keck Observatory,Ground,243.1742467,-18.8764247,355.19966,22.96885,111.70000000000,0.3600000000,0.290000,,2.10000000,667.41500000,Msini,1.19000000,13.40000000,1.520000,,,,,149.50000,3191.00,0.478625,0.490000,0.4000,4.756170,-1.54921,,6.127415,,M3 V,1,1,14.53240000,11.3940000,6.5890000,10.2351000,0,1,0,0,0
HD 3167 b,HD 3167,b,2016,Transit,K2,Space,8.7401487,4.3807215,115.11108,-58.24060,0.95964100000,0.0179600000,0.000000,83.40000,0.01563737,4.97000000,Mass,0.14898768,1.67000000,5.600000,1774.00,1650.0000,0.02940000,1.6090000,3.56000,5261.00,0.880000,0.837000,0.0400,4.530000,-0.27003,7.8000,1.817266,2.4100,K0 V,1,4,47.28990000,8.9700000,7.0660000,8.7622100,1,1,0,0,0
GJ 876 b,GJ 876,b,1998,Radial Velocity,Multiple Observatories,Ground,343.3239737,-14.2665958,52.00313,-59.63511,61.11660000000,0.2083170000,0.032400,59.00000,2.27560000,723.22350000,Mass,1.19000000,13.30000000,1.690000,,,,,214.00000,3293.74,0.300000,0.320000,0.2129,4.871770,-1.90658,1.0000,10.865574,0.1600,M2.5V,1,4,4.67517000,10.1600000,5.0100000,8.8753000,0,1,0,0,0
HD 114783 c,HD 114783,c,2018,Radial Velocity,W. M. Keck Observatory,Ground,198.1818436,-2.2649921,313.66815,60.16222,4352.00000000000,5.0000000000,0.050000,159.00000,1.90000000,603.87397330,Mass,1.20000000,13.40000000,1.380000,,,,,9.11000,5135.00,0.840622,0.900000,0.2100,4.525599,-0.37250,6.0000,2.025864,2.0000,K1 V,1,2,21.06280000,7.5600000,5.4750000,7.3178300,0,1,0,0,0
HD 47186 c,HD 47186,c,2008,Radial Velocity,La Silla Observatory,Ground,99.0367212,-27.6234285,236.50396,-15.30712,1353.60000000000,2.3950000000,0.249000,,0.35061000,111.42000000,Msini,1.16000000,13.00000000,0.279000,,,,,6.65000,5657.00,1.080000,0.960000,0.2400,4.360000,0.04298,6.5000,1.057093,2.2000,G6 V,1,2,37.45740000,7.6300000,6.0050000,7.4489700,0,1,0,0,0
